"","show","season1","season2","average vote","airdate_1","airdate_2","days_between","episodes","English","Runtime","Certificate","Genre"
"1","1000 Ways to Die",6.16666666666667,6.46666666666667,40.75,2008-05-14,2009-12-05,570,12,"TRUE",23,"TV-14","Documentary Comedy Horror"
"2","21 Jump Street",7.44166666666667,7.49090909090909,198.166666666667,1987-04-12,1987-09-20,161,12,"TRUE",60,"TV-14","Crime Drama Mystery"
"3","30 for 30",6.73666666666667,6.73,1109.3,2009-10-06,2012-10-02,1092,30,"TRUE",60,"TV-G","Documentary Biography History Sport"
"4","A Black Lady Sketch Show",6.68333333333333,5.8,129.666666666667,2019-08-02,2021-04-23,630,6,"TRUE",30,"TV-MA","Comedy"
"5","A Haunting",7.7,7.98,85.6666666666667,2005-12-09,2006-03-17,98,6,"TRUE",60,"TV-PG","Documentary Horror Mystery Thriller"
"6","A Million Little Things",8.65294117647059,8.4421052631579,329.647058823529,2018-09-26,2019-09-26,365,17,"TRUE",43,"TV-14","Comedy Drama Romance"
"7","Absolutely Fabulous",8.28333333333333,8.51666666666667,355,1992-11-12,1994-01-27,441,6,"TRUE",45,"TV-14","Comedy"
"8","Abstract: The Art of Design",7.9375,7.86666666666667,365,2017-02-10,2019-09-25,957,8,"TRUE",45,"TV-14","Documentary"
"9","Accused",7.71666666666667,8.1,183.666666666667,2010-11-15,2012-08-14,638,6,"TRUE",60,"TV-14","Crime Drama Mystery"
"10","Age of Youth",8.28333333333333,8.34285714285714,13.3333333333333,2016-07-22,2017-08-25,399,12,"FALSE",60,"TV-14","Comedy Drama Romance"
"11","Agents of S.H.I.E.L.D.",8.15909090909091,8.49545454545455,4093.68181818182,2013-09-24,2014-09-23,364,22,"MISSING",45,"TV-PG","Action Adventure Drama Sci-Fi Thriller"
"12","Ajin",7.59333333333333,7.64285714285714,109.4,2016-01-16,2016-10-08,266,15,"FALSE",24,"TV-MA","Animation Action Adventure Drama Fantasy Horror Mystery Sci-Fi Thriller"
"13","Alaskan Bush People",7.74,7.62222222222222,32,2014-05-06,2014-12-19,227,5,"TRUE",42,"TV-PG","Reality-TV"
"15","Are You the One?",7.40833333333333,6.70909090909091,33.5833333333333,2014-01-21,2014-10-06,258,12,"TRUE",41,"TV-14","Reality-TV"
"16","Avengers Assemble",7.39615384615385,7.85,165.923076923077,2013-05-26,2014-09-28,490,26,"TRUE",23,"TV-Y7","Animation Action Adventure Sci-Fi"
"17","Awkward.",7.70833333333333,7.58333333333333,264.75,2011-07-19,2012-06-28,345,12,"TRUE",22,"TV-14","Comedy Drama Romance"
"18","Babar",6.44615384615385,6.01538461538462,22.8461538461538,1989-01-03,1989-08-21,230,13,"TRUE",30,"TV-Y7","Animation Comedy Drama Family Fantasy"
"19","Ballers",7.92,8.19,1447.8,2015-06-21,2016-07-17,392,10,"TRUE",30,"TV-MA","Comedy Drama Sport"
"20","Banacek",7.73333333333333,7.85,153.888888888889,1972-03-20,1973-10-03,562,9,"TRUE",90,"TV-PG","Crime Drama Mystery"
"21","Bancroft",7.35,7.7,202,2017-12-10,2020-01-01,752,4,"TRUE",45,"TV-14","Crime Drama Mystery Thriller"
"22","Baretta",8.23333333333333,8.65909090909091,56.3333333333333,1975-01-17,1975-09-10,236,12,"TRUE",60,"TV-PG","Crime Drama Mystery Thriller"
"24","Beck",5.975,6.0625,1324.625,1998-04-25,2003-04-27,1828,8,"FALSE",90,"Not Rated","Crime Mystery Thriller"
"25","Being Human",8.05714285714286,7.9875,427.714285714286,2009-01-25,2010-01-10,350,7,"TRUE",60,"TV-14","Comedy Drama Fantasy Horror"
"26","Ben 10: Ultimate Alien",8.6,8.55833333333333,181.05,2010-04-23,2011-02-04,287,20,"TRUE",22,"TV-Y7","Animation Action Adventure Family Sci-Fi"
"27","Benson",7.58333333333333,7.53636363636364,34.125,1979-09-13,1980-10-31,414,24,"TRUE",30,"TV-G","Comedy Family"
"28","Big Little Lies",8.54285714285714,8.44285714285714,4906.42857142857,2017-02-19,2019-06-09,840,7,"TRUE",60,"TV-MA","Crime Drama Mystery"
"29","Big Time Rush",8.53684210526316,8.66785714285714,113.105263157895,2009-11-28,2011-11-12,714,19,"TRUE",25,"TV-G","Comedy Family Musical"
"30","Bless This Mess",7.36666666666667,7.715,172.5,2019-04-16,2019-09-24,161,6,"TRUE",30,"TV-PG","Comedy"
"31","Blown Away",6.69,5.78,83.6,2019-07-12,2021-01-22,560,10,"TRUE",23,"TV-PG","Reality-TV"
"32","Bluestone 42",7.375,8,28.375,2013-03-05,2013-12-26,296,8,"TRUE",30,"TV-14","Comedy War"
"33","Blunt Talk",7.95,7.95,161.4,2015-08-22,2016-10-02,407,10,"TRUE",30,"TV-MA","Comedy"
"35","Braquo",7.6875,7.575,94,2009-10-12,2011-11-21,770,8,"FALSE",52,"TV-14","Crime Thriller"
"36","Brockmire",7.875,7.725,197.125,2017-04-05,2018-04-25,385,8,"TRUE",30,"TV-MA","Comedy Drama Sport"
"37","Cagney &amp; Lacey",7.31428571428571,7.73636363636364,73.7142857142857,1981-10-08,1982-10-25,382,7,"TRUE",60,"TV-PG","Crime Drama Mystery Thriller"
"38","Cake Boss",7.60769230769231,7.69473684210526,16.8461538461538,2009-04-19,2009-10-26,190,13,"TRUE",30,"TV-PG","Family Reality-TV"
"39","California Dreams",7.83846153846154,8.47222222222222,17.0769230769231,1992-09-12,1993-09-11,364,13,"TRUE",30,"TV-Y7","Comedy Family Music"
"40","Car Masters: Rust to Riches",8.525,8.6875,114.875,2018-09-14,2020-03-27,560,8,"MISSING",40,"TV-PG","Reality-TV"
"41","Cardcaptor Sakura",7.42571428571429,7.72727272727273,48.5142857142857,1998-04-07,1999-04-06,364,35,"FALSE",30,"TV-Y7-FV","Animation Action Adventure Comedy Drama Fantasy Romance"
"42","Cardinal",7.95,7.8,370,2017-06-16,2018-01-04,202,6,"TRUE",42,"TV-MA","Crime Drama Mystery Thriller"
